0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.0,639.0,638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.0,669.0,667.0,642.0,637.0,627.0,646.0,634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823.0,813.0,822.0,840.0,873.0,932.0,,,,,756.0,740.0,722.0,720.0,729.0,709.0,718.0,688.0,669.0,644.0,632.0,619.0,618.0,624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846.0,831.0,842.0,848.0,893.0,936.0,906.0,834.0,809.0,794.0,766.0,780.0,778.0,796.0,786.0,763.0,736.0,713.0,689.0,662.0,638.0,637.0,635.0,616.0,608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,907.0,865.0,855.0,864.0,870.0,911.0,936.0,921.0,848.0,845.0,818.0,791.0,795.0,815.0,794.0,778.0,756.0,758.0,740.0,722.0,705.0,666.0,649.0,630.0,625.0,632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901.0,931.0,934.0,943.0,939.0,897.0,880.0,877.0,862.0,873.0,879.0,846.0,790.0,779.0,786.0,806.0,793.0,737.0,720.0,714.0,692.0,687.0,667.0,638.0,629.0,616.0,619.0,609.0,632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947.0,957.0,918.0,907.0,910.0,924.0,892.0,848.0,830.0,812.0,811.0,808.0,785.0,779.0,780.0,773.0,782.0,778.0,729.0,693.0,679.0,666.0,631.0,628.0,622.0,625.0,621.0,601.0,595.0,616.0,647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955.0,960.0,946.0,915.0,896.0,875.0,864.0,862.0,853.0,832.0,803.0,777.0,793.0,789.0,784.0,755.0,741.0,742.0,763.0,739.0,701.0,672.0,655.0,652.0,633.0,620.0,613.0,604.0,595.0,586.0,596.0,615.0,631.0,640.0,671.0,684.0,676.0,657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.0,965.0,911.0,865.0,859.0,846.0,840.0,827.0,812.0,784.0,756.0,756.0,744.0,758.0,741.0,725.0,716.0,706.0,706.0,718.0,684.0,668.0,669.0,647.0,638.0,609.0,614.0,599.0,584.0,578.0,598.0,601.0,606.0,615.0,647.0,652.0,650.0,651.0,634.0,618.0,,,,,,,,,,,,,,,722.0,696.0,679.0,,,,,,,673.0,688.0,696.0,695.0,697.0,701.0,696.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972.0,981.0,956.0,898.0,859.0,843.0,830.0,820.0,804.0,778.0,768.0,733.0,714.0,719.0,715.0,708.0,705.0,710.0,687.0,690.0,703.0,695.0,679.0,658.0,651.0,637.0,633.0,629.0,595.0,590.0,588.0,626.0,641.0,606.0,598.0,619.0,634.0,640.0,637.0,619.0,608.0,587.0,,,,,,,,,,604.0,634.0,682.0,698.0,710.0,682.0,666.0,667.0,667.0,666.0,662.0,666.0,660.0,694.0,701.0,699.0,699.0,700.0,698.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.0,975.0,993.0,1006.0,1023.0,991.0,972.0,924.0,888.0,880.0,861.0,844.0,827.0,795.0,793.0,769.0,762.0,736.0,705.0,676.0,683.0,670.0,666.0,650.0,665.0,656.0,657.0,645.0,660.0,639.0,615.0,603.0,599.0,604.0,619.0,623.0,628.0,638.0,595.0,581.0,594.0,603.0,617.0,596.0,587.0,598.0,599.0,,,,,,574.0,578.0,603.0,594.0,602.0,633.0,662.0,670.0,679.0,665.0,672.0,687.0,699.0,691.0,680.0,679.0,682.0,690.0,701.0,710.0,706.0,701.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952.0,949.0,920.0,937.0,973.0,986.0,1049.0,1083.0,1067.0,1029.0,981.0,940.0,910.0,873.0,843.0,842.0,817.0,795.0,775.0,741.0,730.0,739.0,757.0,712.0,693.0,666.0,661.0,641.0,630.0,620.0,616.0,630.0,614.0,621.0,639.0,639.0,649.0,666.0,669.0,649.0,642.0,632.0,623.0,625.0,598.0,585.0,575.0,572.0,588.0,613.0,584.0,584.0,613.0,617.0,608.0,588.0,601.0,601.0,626.0,623.0,591.0,611.0,670.0,677.0,664.0,675.0,691.0,687.0,698.0,691.0,672.0,657.0,664.0,655.0,677.0,687.0,693.0,683.0,676.0,,
,,,,,,,,,,,,,,,,,,,,528.0,517.0,481.0,483.0,479.0,495.0,523.0,543.0,521.0,522.0,534.0,539.0,548.0,573.0,,,,,,,,,,,,,,,,,,,,,,,1241.0,1262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991.0,1003.0,959.0,954.0,943.0,962.0,954.0,964.0,980.0,999.0,1072.0,1109.0,1066.0,1029.0,993.0,946.0,918.0,893.0,850.0,828.0,789.0,774.0,761.0,756.0,736.0,712.0,733.0,730.0,718.0,686.0,680.0,660.0,646.0,638.0,632.0,617.0,622.0,624.0,639.0,628.0,662.0,675.0,684.0,674.0,655.0,656.0,645.0,639.0,613.0,603.0,573.0,589.0,600.0,602.0,599.0,615.0,617.0,646.0,628.0,619.0,649.0,636.0,629.0,646.0,614.0,616.0,671.0,687.0,674.0,670.0,663.0,658.0,688.0,680.0,663.0,661.0,658.0,657.0,671.0,682.0,672.0,674.0,677.0,,
,,,,,,,,,,,,,,,,,,,601.0,545.0,531.0,490.0,497.0,477.0,516.0,560.0,599.0,581.0,557.0,546.0,546.0,563.0,573.0,595.0,603.0,629.0,666.0,,,,,,,,,,,,,1057.0,1119.0,1179.0,1191.0,1202.0,1212.0,1285.0,1333.0,1387.0,1403.0,1450.0,1449.0,1459.0,,,,,,,,,,,,,,,,,,,,,,1239.0,1268.0,1284.0,,,,,,,,,,,,,,,1055.0,1029.0,1010.0,997.0,957.0,971.0,983.0,988.0,997.0,990.0,1000.0,1011.0,1025.0,1020.0,1067.0,1084.0,1034.0,1002.0,995.0,936.0,903.0,856.0,826.0,809.0,788.0,782.0,762.0,747.0,724.0,717.0,708.0,708.0,698.0,687.0,709.0,693.0,666.0,658.0,665.0,643.0,647.0,658.0,663.0,668.0,708.0,720.0,714.0,717.0,713.0,716.0,679.0,659.0,628.0,589.0,567.0,602.0,627.0,656.0,642.0,614.0,607.0,617.0,662.0,666.0,655.0,652.0,640.0,647.0,625.0,620.0,628.0,686.0,682.0,672.0,662.0,647.0,650.0,649.0,638.0,648.0,669.0,675.0,660.0,675.0,661.0,682.0,705.0,,
,,,,,,,,,,,,,,,,,579.0,618.0,620.0,569.0,543.0,522.0,527.0,531.0,531.0,539.0,590.0,638.0,611.0,587.0,581.0,608.0,600.0,596.0,606.0,621.0,639.0,672.0,714.0,740.0,748.0,,765.0,799.0,828.0,888.0,932.0,983.0,1027.0,1113.0,1199.0,1236.0,1224.0,1221.0,1229.0,1284.0,1348.0,1415.0,1455.0,1499.0,1494.0,1513.0,1564.0,1578.0,1601.0,1623.0,1606.0,1563.0,1522.0,1502.0,1468.0,1425.0,1394.0,1366.0,1342.0,1309.0,1304.0,1311.0,1319.0,1258.0,1223.0,1206.0,1213.0,1202.0,1187.0,1203.0,1216.0,1207.0,1174.0,1175.0,,,,,,,1059.0,1043.0,1039.0,1038.0,1043.0,1012.0,992.0,966.0,959.0,992.0,1010.0,1028.0,1016.0,1036.0,1056.0,1063.0,1049.0,1033.0,1063.0,1069.0,1041.0,1007.0,1006.0,931.0,896.0,840.0,816.0,804.0,809.0,786.0,758.0,741.0,735.0,729.0,703.0,689.0,678.0,689.0,711.0,689.0,692.0,674.0,666.0,680.0,686.0,687.0,691.0,702.0,717.0,707.0,678.0,661.0,673.0,696.0,687.0,663.0,624.0,587.0,597.0,608.0,654.0,655.0,630.0,623.0,622.0,615.0,672.0,705.0,684.0,675.0,655.0,629.0,613.0,616.0,658.0,675.0,663.0,664.0,669.0,653.0,646.0,630.0,657.0,653.0,657.0,653.0,655.0,667.0,645.0,654.0,685.0,,
,,,,,,,,,,,,,,,572.0,597.0,612.0,631.0,636.0,594.0,572.0,580.0,558.0,554.0,549.0,579.0,589.0,636.0,694.0,649.0,616.0,621.0,636.0,633.0,623.0,626.0,653.0,665.0,657.0,689.0,719.0,741.0,811.0,855.0,897.0,911.0,979.0,1031.0,1094.0,1160.0,1237.0,1273.0,1261.0,1245.0,1253.0,1285.0,1354.0,1453.0,1491.0,1549.0,1583.0,1597.0,1611.0,1602.0,1659.0,1663.0,1642.0,1599.0,1552.0,1514.0,1494.0,1476.0,1433.0,1409.0,1391.0,1326.0,1290.0,1272.0,1253.0,1239.0,1215.0,1193.0,1185.0,1197.0,1153.0,1164.0,1137.0,1126.0,1134.0,1140.0,1112.0,1093.0,1052.0,1046.0,1034.0,1026.0,1039.0,1017.0,1039.0,1034.0,1036.0,1019.0,1061.0,1051.0,1012.0,1044.0,1060.0,1068.0,1090.0,1078.0,1109.0,1126.0,1120.0,1073.0,1072.0,997.0,967.0,942.0,936.0,937.0,912.0,886.0,834.0,849.0,832.0,803.0,776.0,756.0,753.0,720.0,696.0,698.0,710.0,725.0,737.0,707.0,702.0,695.0,705.0,696.0,734.0,739.0,753.0,747.0,725.0,713.0,683.0,639.0,610.0,620.0,629.0,626.0,606.0,618.0,675.0,648.0,658.0,650.0,648.0,630.0,619.0,645.0,656.0,712.0,702.0,651.0,644.0,619.0,619.0,634.0,632.0,634.0,620.0,620.0,627.0,641.0,633.0,676.0,678.0,662.0,645.0,645.0,633.0,638.0,642.0,663.0,686.0,,
